iter	Accuracy	MultiClass
0	0.8929578125	1.806594863
1	0.8929578125	1.691672772
2	0.8926615625	1.593623144
3	0.8929578125	1.508678377
4	0.893375625	1.434053751
5	0.892923125	1.367628903
6	0.8930634375	1.307442438
7	0.8931165625	1.252799125
8	0.893384375	1.20336837
9	0.8934215625	1.157887806
10	0.8934215625	1.115753971
11	0.8934215625	1.077019085
12	0.89300375	1.041025198
13	0.89300375	1.007638361
14	0.89300375	0.9757636731
15	0.893421875	0.9465398884
16	0.8933559375	0.9191909422
17	0.8937740625	0.8932121556
18	0.8933596875	0.8687194157
19	0.8933596875	0.8458657013
20	0.8938021875	0.8240467703
21	0.8938021875	0.8034524552
22	0.8938021875	0.7837613715
23	0.8938021875	0.765011512
24	0.893785625	0.7473562951
25	0.8942078125	0.7301916305
26	0.894208125	0.7138327123
27	0.8938075	0.6984038003
28	0.8942275	0.6835969339
29	0.8938075	0.6699834579
30	0.8938075	0.6564534777
31	0.893811875	0.6441024601
32	0.893813125	0.63164319
33	0.893811875	0.6199695541
34	0.893811875	0.6086084387
35	0.89381125	0.597748967
36	0.8938103125	0.5878253271
37	0.893813125	0.5774951153
38	0.893813125	0.5678105414
39	0.893814375	0.5587054237
40	0.893814375	0.5497518629
41	0.89381625	0.541164806
42	0.89378	0.5332027152
43	0.8937909375	0.5252262795
44	0.894071875	0.5178714854
45	0.8943234375	0.5102922417
46	0.894285	0.5035018158
47	0.894330625	0.4964658669
48	0.8947371875	0.4895781028
49	0.8947065625	0.4832411508
50	0.8948903125	0.4768214524
51	0.8948753125	0.4708147737
52	0.894890625	0.4651647073
53	0.8949034375	0.4593743284
54	0.89521625	0.4538100686
55	0.8952259375	0.4484044967
56	0.895235625	0.4433534097
57	0.8953234375	0.438190749
58	0.8955465625	0.4332133317
59	0.8955446875	0.4286113649
60	0.8955178125	0.4243650485
61	0.895605	0.4200759768
62	0.89562	0.416040723
63	0.8956540625	0.4117666337
64	0.8958453125	0.4076058522
65	0.895893125	0.4034849876
66	0.89592875	0.3996034332
67	0.8964315625	0.3957552614
68	0.896561875	0.3920588236
69	0.8966221875	0.3885635174
70	0.8966390625	0.3849210019
