iter	Accuracy	MultiClass
0	0.9363461605	1.789838251
1	0.936394437	1.662004553
2	0.9367465343	1.553577451
3	0.9373150575	1.460153657
4	0.9390847561	1.378103768
5	0.9390639928	1.305298355
6	0.9390559823	1.23942869
7	0.9387026144	1.180130174
8	0.9385904167	1.126163609
9	0.9385791698	1.076762349
10	0.9385807179	1.031380186
11	0.9386955309	0.989218182
12	0.9386930841	0.950045623
13	0.9387003236	0.9139161862
14	0.9392483011	0.879838294
15	0.9392553114	0.8480092182
16	0.9392530647	0.818126903
17	0.939254742	0.7900642882
18	0.9392388028	0.7636859485
19	0.9392054569	0.7388483101
20	0.9391604022	0.715349482
21	0.9391655079	0.6931116481
22	0.9394186356	0.672083521
23	0.939560769	0.651950986
24	0.939542804	0.6329805704
25	0.9395526569	0.6149754909
26	0.9401826252	0.5978617769
27	0.9401971084	0.5814350117
28	0.9402090951	0.5658008379
29	0.9401467177	0.5508121072
30	0.9405392653	0.5361463224
31	0.9405712296	0.5221421062
32	0.9403580704	0.5087802787
33	0.9399480258	0.496017891
34	0.9401610404	0.4837836542
35	0.9403629141	0.472056352
36	0.940337253	0.4608011199
37	0.9402624293	0.4500437723
38	0.9402780573	0.4398376421
39	0.9405636216	0.4300666119
40	0.9405337966	0.4207039561
41	0.9404494965	0.4115507342
42	0.940482209	0.4027768176
43	0.9405949461	0.3943536443
44	0.9409099437	0.3862350756
45	0.9410839678	0.378452128
46	0.9409967403	0.3710773085
47	0.941073719	0.363803185
48	0.9411531789	0.3567367853
49	0.9413931549	0.3500859682
50	0.9416067211	0.3437558743
51	0.9417708664	0.3374535857
52	0.9421782102	0.3313566772
53	0.9423854224	0.3254815791
54	0.9423211398	0.3200004518
55	0.9424121736	0.314531842
56	0.9425244108	0.309170684
57	0.9428658063	0.303983443
58	0.9428819313	0.298923245
59	0.9430583853	0.2940859686
60	0.9428817542	0.2894863526
61	0.9429408725	0.2852717955
62	0.9430588097	0.2809174892
63	0.9431396281	0.2765704263
64	0.9434955448	0.2724027971
65	0.9434351929	0.2686975576
66	0.9435613708	0.2648167717
67	0.943687944	0.2610780593
68	0.9437304245	0.2574378563
69	0.9440076118	0.2539272472
70	0.9438728439	0.2506568341
71	0.9439567619	0.2472784609
72	0.9440755173	0.2440503024
73	0.9440367259	0.2410819852
74	0.9440652714	0.238130326
75	0.9442254948	0.2351978509
76	0.9443991339	0.2323271212
77	0.9444067664	0.2295671353
78	0.9444325178	0.2270384965
79	0.9445004264	0.2244598186
80	0.9444974266	0.2219004763
81	0.9445877171	0.2194480427
82	0.9446598558	0.2171211775
83	0.9446784842	0.2149325449
84	0.9447687068	0.2126869789
85	0.9447980175	0.2106402256
86	0.9448849256	0.2085037332
87	0.9449270811	0.2065938667
88	0.9450121184	0.2045345999
89	0.9450537251	0.2026282882
90	0.9451669389	0.2007563629
91	0.9454010237	0.1988872674
92	0.9459383707	0.1972248826
93	0.9463751513	0.1956222417
94	0.9464317595	0.1939462505
95	0.946465445	0.1922600622
96	0.946651449	0.1907874624
97	0.9467468441	0.1892396
98	0.9470881687	0.1878417226
99	0.9470388458	0.1863414807
100	0.9474138311	0.1850344189
101	0.9475189623	0.1836615132
102	0.9476186477	0.1822437469
103	0.9478179732	0.1810474513
104	0.9480092994	0.1798606818
105	0.9480964758	0.1786106062
106	0.9482490935	0.1774936992
107	0.9482692043	0.1762644646
108	0.9483953178	0.1752253446
109	0.9485109566	0.1741949149
110	0.9486129442	0.1730119362
111	0.9487017216	0.1720541639
112	0.94887814	0.1709917657
113	0.9490173794	0.1700743412
114	0.9490825299	0.1690606018
115	0.9492017107	0.1680915599
116	0.9492996851	0.16724704
117	0.9493302197	0.1663498477
118	0.9493600907	0.1655269644
119	0.9494458382	0.1647601823
120	0.9495008688	0.1638594764
121	0.949527882	0.1631102749
122	0.9495629854	0.1623015935
123	0.9496984415	0.1615694098
124	0.949797939	0.1607739021
125	0.9498484607	0.1601101268
126	0.9498821287	0.1593652024
127	0.9498538257	0.1585161228
128	0.9498797578	0.1578432328
129	0.9498711648	0.1571785528
130	0.94991982	0.1564981477
131	0.9498741316	0.1557735357
132	0.9499347651	0.1551570756
133	0.9499933957	0.1545659266
134	0.9499710648	0.1539009093
135	0.9500692175	0.1533097104
136	0.9501712898	0.1527321271
137	0.9502276172	0.1521480758
138	0.9502192311	0.1515714738
139	0.950264011	0.1510295497
140	0.9503121004	0.1505841059
141	0.9505644354	0.1500717303
142	0.9505544121	0.1495756181
143	0.9506323538	0.1489426109
144	0.9507289819	0.1483907935
145	0.9508054507	0.1479696208
146	0.9507832352	0.1473937354
147	0.9508913327	0.146913595
148	0.950914547	0.1464776853
149	0.9509679148	0.1460104421
150	0.9510672002	0.1455853674
151	0.9511177412	0.1450232635
152	0.951177918	0.1445414023
153	0.951255223	0.1440998215
154	0.9513104227	0.1437059439
155	0.9513110436	0.143215317
156	0.9514286214	0.142809157
157	0.9515043159	0.1424475894
158	0.9515671141	0.1419894979
159	0.9516650497	0.1416398633
160	0.9517502715	0.1411221608
161	0.951823164	0.1407530486
162	0.9519435493	0.1404771599
163	0.9519845635	0.1400582403
164	0.9520630492	0.1397480982
165	0.9521630415	0.1394004208
166	0.9523001509	0.1390241187
167	0.9523431263	0.1387057325
168	0.9523873738	0.1383252485
169	0.9524823163	0.1379636242
170	0.9525086619	0.1377005348
171	0.9526058007	0.1374495933
172	0.9526599169	0.1371989157
173	0.9527494748	0.1368023538
174	0.9527884019	0.1364132079
175	0.9528779405	0.1361558279
176	0.952885425	0.1359009819
177	0.9529004798	0.1356466969
178	0.9530038408	0.1352918817
179	0.9530462818	0.1349596067
180	0.9531224821	0.1346412303
181	0.9532178945	0.1343573011
182	0.95323509	0.1340643375
183	0.9532712272	0.1338194539
184	0.953368061	0.1335693676
185	0.9534277116	0.1333322225
186	0.9535082758	0.1330872841
187	0.9535502828	0.1327920648
188	0.9536031414	0.132573425
189	0.9536710101	0.1324120586
190	0.953775141	0.1321428494
191	0.9538406714	0.1318731524
192	0.9538722397	0.1317193189
193	0.9538911942	0.1314295571
194	0.9539260005	0.1312073753
195	0.9540270898	0.1308797515
196	0.954079504	0.1307287737
197	0.9541533907	0.1304399642
198	0.9542259707	0.1298351792
199	0.9542368745	0.129634239
200	0.9543079789	0.1294801219
201	0.9543518186	0.1293084815
202	0.9544381722	0.1287869972
203	0.9544654598	0.1285556617
