iter	Passed	Remaining
0	1438	1436774
1	2843	1418702
2	4159	1382425
3	5586	1390925
4	6946	1382405
5	8267	1369571
6	9598	1361674
7	10947	1357525
8	12271	1351188
9	13627	1349112
10	14991	1347890
11	16389	1349379
12	17682	1342537
13	19010	1338888
14	20385	1338624
15	21708	1335050
16	23101	1335831
17	24405	1331473
18	25746	1329348
19	27083	1327107
20	28539	1330486
21	29818	1325549
22	31143	1322941
23	32553	1323840
24	33773	1317165
25	35125	1315870
26	36496	1315234
27	37779	1311491
28	39170	1311535
29	40677	1315236
30	41999	1312816
31	43309	1310122
32	44615	1307363
33	46014	1307357
34	47505	1309791
35	48964	1311161
36	50262	1308195
37	51618	1306772
38	53015	1306344
39	54393	1305445
40	55635	1301320
41	56917	1298259
42	58128	1293699
43	59496	1292706
44	60869	1291793
45	62281	1291656
46	63547	1288533
47	64794	1285084
48	66036	1281656
49	67496	1282432
50	68836	1280901
51	70036	1276827
52	71380	1275419
53	72495	1270014
54	73790	1267857
55	75054	1265204
56	76321	1262644
57	77681	1261659
58	79080	1261265
59	80249	1257239
60	81483	1254307
61	82931	1254672
62	84293	1253694
63	85565	1251401
64	86842	1249193
65	88056	1246131
66	89224	1242479
67	90604	1241818
68	92002	1241371
69	93235	1238695
70	94698	1239079
71	95883	1235836
72	97106	1233121
73	98344	1230637
74	99685	1229455
75	100927	1227070
76	102390	1227358
77	103593	1224529
78	104868	1222583
79	106114	1220313
80	107384	1218345
81	108851	1218605
82	110185	1217354
83	111530	1216209
84	112709	1213281
85	113986	1211436
86	115285	1209840
87	116662	1209045
88	117808	1205887
89	119174	1204982
90	120472	1203396
91	121740	1201525
92	122867	1198287
93	124077	1195896
94	125331	1193949
95	126417	1190432
96	127642	1188255
97	128783	1185330
98	130062	1183701
99	131205	1180849
100	132475	1179160
101	133778	1177779
102	134996	1175651
103	136283	1174134
104	137485	1171899
105	138799	1170626
106	140083	1169105
107	141434	1168140
108	142533	1165115
109	143689	1162580
110	144848	1160095
111	146056	1158016
112	147144	1155018
113	148421	1153524
114	149744	1152384
115	151037	1151009
116	152198	1148643
117	153307	1145908
118	154459	1143519
119	155720	1141948
120	156933	1140036
121	158160	1138239
122	159305	1135861
123	160490	1133786
124	161658	1131606
125	162774	1129084
126	164009	1127404
127	165241	1125706
128	166587	1124785
129	167777	1122815
130	169007	1121125
131	170253	1119545
132	171457	1117694
133	172619	1115587
134	173877	1114101
135	175142	1112670
136	176407	1111240
137	177572	1109182
138	178755	1107254
139	179926	1105260
140	181084	1103201
141	182301	1101510
142	183564	1100103
143	184638	1097571
144	185876	1096028
145	187191	1094942
146	188478	1093687
