iter	Accuracy	MultiClass
0	0.9445239204	1.786515476
1	0.9442966943	1.656392628
2	0.9476143951	1.546362439
3	0.9476676745	1.4513294
4	0.9479835065	1.367614863
5	0.9481852855	1.293535217
6	0.9477045037	1.226841552
7	0.9478987598	1.166669361
8	0.9487820273	1.111886049
9	0.9488091383	1.061783193
10	0.9487831185	1.015534925
11	0.949121958	0.9726699662
12	0.949653209	0.9330083819
13	0.9494188528	0.8961492152
14	0.9496017851	0.8615936667
15	0.9497285269	0.8293978159
16	0.9501261496	0.7989445999
17	0.9501432017	0.7705747122
18	0.9500542405	0.743719941
19	0.9503125705	0.7184450224
20	0.9503007023	0.6946149436
21	0.9503116955	0.6719494078
22	0.9504444571	0.6504499635
23	0.950619051	0.6301363099
24	0.9508700886	0.6104830697
25	0.9509598753	0.5920732109
26	0.9508679106	0.5743123059
27	0.9508596073	0.5574334447
28	0.9512741667	0.5413467328
29	0.9512024434	0.5259822191
30	0.9514281734	0.5113308897
31	0.9516027323	0.4973666485
32	0.9517657321	0.4839911826
33	0.9524524471	0.4712761728
34	0.9534864129	0.4590826793
35	0.9535576592	0.4474318743
36	0.9536453814	0.4357638029
37	0.9537136276	0.4249165553
38	0.9537843471	0.4142605691
39	0.953803438	0.404128781
40	0.9539126368	0.3944795884
41	0.9538839306	0.3852295005
42	0.9540170926	0.3763538117
43	0.9540863444	0.3679109459
44	0.9542559826	0.3597155271
45	0.9543179402	0.351744148
46	0.9544745065	0.3440793818
47	0.9545020883	0.3367317556
48	0.9545616697	0.3294441805
49	0.9546535991	0.3225492832
50	0.9547304884	0.3160436251
51	0.9548047568	0.3096937355
52	0.9548977722	0.3035037176
53	0.9550356121	0.2977364219
54	0.95506573	0.2918258292
55	0.9551657125	0.2862829329
56	0.9552283761	0.2809941056
57	0.9552827373	0.2757736268
58	0.9554453686	0.2709159466
59	0.9556468073	0.2661704917
60	0.9556807059	0.2615979086
61	0.9557375478	0.2570474745
62	0.9559091934	0.2526247325
63	0.9559021448	0.2483679025
64	0.9559662109	0.2441587485
65	0.9560944963	0.2403727756
66	0.9560732787	0.236511268
67	0.9560493447	0.232733875
68	0.9561269946	0.229008176
69	0.9561636905	0.2257393931
70	0.956283587	0.2222820722
71	0.95630872	0.2189938768
72	0.9562626332	0.2158467416
73	0.9562987341	0.2127771995
74	0.956278321	0.2098317451
75	0.9564178949	0.2068706601
76	0.956409134	0.2040954406
77	0.9564414845	0.2015052317
78	0.9564977076	0.1989136379
79	0.9565805647	0.1964926751
80	0.956717012	0.1939491154
81	0.9568175927	0.1915999941
82	0.9569758387	0.1893483351
83	0.9571193673	0.1870179746
84	0.957087993	0.1847441861
85	0.9572232347	0.1826186343
86	0.9572423184	0.1806725321
87	0.9573604601	0.1786811655
88	0.9573902922	0.1766794012
89	0.9574253877	0.1748247699
90	0.9575333853	0.1729433154
91	0.9576703585	0.1711139446
92	0.9577415465	0.1694554845
93	0.9577863208	0.1677005435
94	0.9578394565	0.1660439842
95	0.9579361383	0.1645373766
96	0.958063287	0.1629272254
97	0.9581851208	0.1613916048
98	0.9581832107	0.1598758351
99	0.958292019	0.1584406155
100	0.9584100073	0.1570089009
101	0.9584897519	0.1557342713
102	0.9586061708	0.1544072568
103	0.9586386655	0.1530666643
104	0.9587420796	0.1517634709
105	0.958805055	0.1506034338
106	0.9588891404	0.1493868681
107	0.958962011	0.1481892189
108	0.9590289828	0.1470628507
109	0.9590685958	0.1459362283
110	0.9591708268	0.1448671737
111	0.9592710642	0.1438775773
112	0.9593940992	0.1428885909
113	0.9594241728	0.1418692141
114	0.9595383354	0.1408971894
115	0.959616246	0.1399879946
116	0.9596735507	0.1391057717
117	0.9597222279	0.138186388
118	0.9597614027	0.1372872031
119	0.9598585277	0.1364522822
120	0.9599201831	0.1356766289
121	0.9599772151	0.1349530061
122	0.9600589482	0.1342369457
123	0.9601455252	0.1334601532
124	0.9602364563	0.1326910756
125	0.9603102428	0.1319380082
126	0.9603666082	0.131201035
127	0.9604400229	0.130512667
128	0.9604839544	0.1298225912
129	0.9605742487	0.1292299531
130	0.9606232897	0.1285801224
131	0.9606961292	0.1279862186
132	0.9607372207	0.1273615362
133	0.9607894643	0.1265958615
134	0.9608232216	0.1258729559
135	0.9609141633	0.1253378436
136	0.96096964	0.1246601043
137	0.9609872567	0.1239206599
138	0.9610754801	0.1233988613
139	0.9611350022	0.1228691927
140	0.9611971015	0.122329217
141	0.9612288164	0.1219118657
142	0.9613088394	0.1213061406
143	0.9613354125	0.1206673056
144	0.9613817085	0.1201763266
145	0.9614488601	0.1197131073
146	0.9614992945	0.1193109154
147	0.9615415678	0.1187801534
148	0.9616196325	0.1183597193
149	0.9616482873	0.1178388663
150	0.9616741874	0.1173469059
151	0.9617348376	0.1169816234
152	0.9618091017	0.1165687733
153	0.9618379169	0.1161120913
154	0.961909996	0.1157001161
155	0.9619363502	0.1152273774
156	0.962024985	0.1148351499
157	0.9620759883	0.1145289103
158	0.9621261619	0.1141260851
159	0.9621821555	0.113824483
160	0.9622011145	0.1133864242
161	0.9622658737	0.1130533616
162	0.9623110168	0.1127393716
163	0.9623374225	0.1123983486
164	0.9623811901	0.1120697511
165	0.96246653	0.1117466152
166	0.9625122147	0.1113564685
167	0.9625753899	0.111069509
168	0.9626218582	0.1107419538
169	0.9626617279	0.1104157542
170	0.9627186424	0.110126761
171	0.9627694961	0.1098848574
172	0.9628127611	0.1096470991
173	0.962837239	0.109279757
174	0.9628867641	0.1090358376
175	0.962925389	0.1087715989
176	0.96296742	0.1085288375
177	0.9630460736	0.1083018341
178	0.9630953455	0.1080222337
