iter	Passed	Remaining
0	850	1274442
1	1686	1263172
2	2605	1300141
3	3441	1287103
4	4254	1272131
5	5121	1275203
6	5962	1271717
7	6746	1258311
8	7518	1245581
9	8285	1234608
10	9059	1226361
11	9827	1218581
12	10643	1217419
13	11431	1213349
14	12261	1213861
15	13114	1216414
16	13910	1213515
17	14753	1214689
18	15583	1214692
19	16387	1212648
20	17119	1205714
21	17902	1202729
22	18693	1200418
23	19477	1197840
24	20282	1196685
25	21094	1195919
26	21857	1192443
27	22665	1191537
28	23476	1190825
29	24192	1185425
30	24943	1181980
31	25722	1180020
32	26504	1178230
33	27259	1175355
34	28035	1173480
35	28760	1169610
36	29502	1166558
37	30299	1165725
38	31097	1164972
39	31880	1163633
40	32636	1161392
41	33411	1159839
42	34176	1158037
43	34972	1157265
44	35751	1155971
45	36474	1152915
46	37305	1153299
47	38039	1150700
48	38827	1149759
49	39605	1148568
50	40359	1146693
51	41225	1147979
52	41963	1145681
53	42715	1143825
54	43488	1142569
55	44249	1141003
56	45029	1139963
57	45840	1139697
58	46609	1138381
59	47395	1137491
60	48257	1138406
61	49066	1138036
62	49885	1137856
63	50751	1138740
64	51486	1136668
65	52239	1135025
66	53012	1133834
67	53732	1131549
68	54563	1131606
69	55423	1132219
70	56210	1131335
71	56987	1130257
72	57787	1129620
73	58532	1127936
74	59413	1128849
75	60194	1127852
76	60996	1127246
77	61756	1125863
78	62461	1123516
79	63313	1123817
80	64021	1121568
81	64820	1120919
82	65604	1120016
83	66439	1119981
84	67237	1119301
85	68051	1118894
86	68737	1116398
87	69521	1115511
88	70307	1114655
89	71127	1114337
90	71823	1112080
91	72673	1112214
92	73383	1110227
93	74197	1109804
94	74957	1108581
95	75736	1107642
96	76576	1107596
97	77312	1106042
98	78091	1105114
99	78797	1103159
100	79516	1101417
101	80241	1099784
102	80932	1097691
103	81741	1097228
104	82469	1095662
105	83298	1095459
106	84000	1093578
107	84705	1091762
108	85488	1090964
109	86183	1089047
110	86950	1088055
111	87743	1087390
112	88433	1085464
113	89219	1084720
114	89914	1082883
115	90697	1082110
116	91413	1080553
117	92121	1078914
118	92940	1078583
119	93630	1076756
120	94336	1075125
121	95192	1075211
122	95940	1074069
123	96603	1071989
124	97427	1071702
125	98091	1069669
126	98857	1068749
127	99550	1067060
128	100405	1067098
129	101120	1065650
130	101943	1065348
131	102670	1064035
132	103466	1063450
133	104210	1062329
134	104905	1060707
135	105642	1059530
136	106436	1058922
137	107204	1058058
138	107978	1057253
139	108715	1056096
140	109440	1054816
141	110233	1054203
142	110962	1052977
143	111729	1052122
144	112466	1050982
145	113277	1050534
146	113985	1049131
147	114720	1047988
148	115428	1046604
149	116166	1045494
150	116922	1044555
151	117679	1043627
152	118416	1042528
153	119148	1041391
154	119967	1041010
155	120731	1040146
156	121467	1039051
157	122238	1038252
158	122909	1036610
159	123580	1034984
160	124299	1033770
161	124988	1032308
162	125733	1031321
163	126441	1030032
164	127185	1029042
165	127901	1027836
166	128612	1026588
167	129416	1026089
168	130222	1025602
169	130964	1024603
170	131731	1023808
171	132437	1022543
172	133087	1020850
173	133744	1019224
174	134529	1018582
175	135299	1017821
176	136010	1016623
177	136796	1015986
178	137545	1015071
179	138396	1014905
180	139142	1013974
181	139851	1012772
182	140564	1011604
183	141284	1010494
184	142087	1009972
185	142949	1009868
186	143750	1009327
187	144513	1008520
188	145221	1007332
189	145916	1006056
190	146716	1005506
191	147654	1005894
192	148378	1004820
193	149099	1003735
194	149982	1003730
195	150731	1002824
196	151507	1002100
197	152198	1000819
198	152902	999626
199	153655	998761
200	154461	998235
201	155248	997589
202	156159	997729
203	156925	996938
204	157640	995828
205	158442	995262
206	159291	994996
207	160069	994274
208	160883	993782
209	161613	992770
210	162354	991824
211	163207	991561
212	163905	990356
213	164706	989778
214	165464	988939
215	166460	989517
216	167213	988641
217	167998	987952
218	168786	987287
219	169657	987099
220	170580	987206
221	171301	986139
222	172082	985423
223	172853	984649
224	173554	983474
225	174346	982819
226	175108	981994
227	175979	981778
228	176859	981607
229	177744	981460
230	178550	980867
231	179307	980007
232	180054	979094
233	180809	978224
234	181509	977059
235	182277	976264
236	183009	975276
237	183826	974745
238	184543	973681
239	185425	973484
240	186193	972688
241	186867	971402
242	187576	970301
243	188318	969375
244	188971	967995
245	189744	967236
246	190450	966131
247	191230	965405
248	191956	964410
249	192641	963206
250	193375	962255
251	194218	961845
252	194970	960980
253	195642	959728
254	196340	958605
255	197076	957666
256	197800	956674
257	198647	956277
258	199457	955702
259	200206	954832
260	200948	953927
261	201771	953407
262	202526	952568
263	203253	951597
264	203974	950597
265	204715	949695
266	205438	948709
267	206108	947482
268	206746	946113
269	207488	945225
270	208169	944058
271	208939	943299
272	209650	942277
273	210452	941660
274	211260	941069
275	211915	939800
276	212649	938882
277	213397	938029
278	214100	936976
279	214844	936110
280	215595	935270
281	216276	934131
282	216968	933041
283	217689	932080
284	218464	931349
285	219154	930255
286	220013	929881
287	220774	929092
288	221513	928209
289	222282	927454
290	222969	926358
291	223791	925824
292	224481	924740
293	225159	923614
294	225879	922662
295	226568	921584
296	227325	920782
297	228029	919771
298	228730	918746
299	229454	917817
300	230156	916803
301	230916	916018
302	231751	915533
303	232552	914908
304	233245	913864
305	234041	913222
306	234745	912220
307	235481	911344
308	236100	910018
309	236851	909205
310	237604	908398
311	238476	908046
312	239223	907216
313	239948	906303
314	240646	905288
315	241418	904555
316	242131	903602
317	242851	902673
318	243575	901764
319	244304	900871
320	245064	900095
321	245801	899236
322	246572	898500
323	247407	897997
324	248173	897243
325	248868	896231
326	249602	895363
327	250364	894596
328	251016	893434
329	251756	892589
330	252507	891785
331	253294	891106
332	254018	890207
333	254820	889583
334	255571	888779
335	256298	887889
336	257012	886960
337	257759	886144
338	258557	885500
339	259326	884760
340	260005	883712
341	260726	882812
342	261474	881999
343	262211	881151
344	262904	880157
345	263655	879358
346	264421	878611
347	265156	877759
348	265840	876740
349	266544	875790
350	267398	875331
351	268159	874567
352	268948	873892
353	269690	873064
354	270403	872145
355	271150	871339
356	271895	870521
357	272579	869514
358	273253	868474
359	274039	867790
360	274725	866793
361	275473	865990
362	276190	865091
363	276939	864294
364	277705	863551
365	278360	862461
366	279045	861466
367	279797	860681
368	280516	859793
369	281202	858806
370	281888	857821
371	282575	856843
372	283587	856846
373	284301	855944
374	285075	855225
375	285830	854450
376	286572	853635
377	287403	853088
378	288097	852128
379	288854	851362
380	289555	850425
381	290287	849583
382	291123	849047
383	291874	848259
384	292574	847326
385	293384	846711
386	294158	845989
387	294877	845113
388	295705	844546
389	296499	843884
390	297183	842905
391	297897	842017
392	298575	841026
393	299378	840386
394	300082	839471
395	300758	838479
396	301535	837768
397	302309	837049
398	303114	836413
399	303980	835946
400	304795	835336
401	305552	834568
402	306313	833810
403	307103	833131
404	307872	832397
405	308573	831476
406	309369	830811
407	310097	829966
408	310873	829248
409	311708	828689
410	312496	828001
411	313245	827211
412	313990	826411
413	314737	825616
414	315504	824872
415	316225	824010
416	317052	823424
417	317787	822597
418	318553	821851
419	319366	821227
420	320074	820332
421	320796	819476
422	321625	818889
423	322342	818019
424	323023	817058
425	323849	816466
426	324568	815602
427	325243	814629
428	325955	813748
429	326716	812991
430	327507	812310
431	328249	811505
432	329099	810968
433	329790	810038
434	330578	809347
435	331315	808530
436	332101	807834
437	333085	807618
438	333971	807162
439	334760	806468
440	335583	805855
441	336433	805310
442	337196	804552
443	337970	803821
444	338747	803098
445	339557	802451
446	340306	801660
447	341128	801042
448	342010	800564
449	342811	799892
450	343523	799016
451	344260	798196
452	344963	797299
453	345679	796434
454	346345	795452
455	347062	794589
456	347850	793891
457	348644	793204
458	349448	792541
459	350241	791849
460	351063	791226
461	351790	790385
462	352493	789494
463	353209	788630
464	353888	787687
465	354578	786768
466	355372	786080
467	356120	785291
468	356861	784486
469	357554	783576
470	358380	782957
471	359134	782183
472	359995	781638
473	360732	780825
474	361433	779935
475	362187	779158
476	363000	778510
477	363763	777753
478	364409	776746
479	365075	775785
480	365780	774908
481	366446	773947
482	367155	773078
483	367889	772264
484	368655	771516
485	369467	770863
486	370329	770315
487	371150	769681
488	371922	768943
489	372652	768120
490	373346	767223
491	374078	766404
492	374833	765633
493	375522	764727
494	376338	764080
495	377076	763276
496	377816	762475
497	378642	761846
498	379486	761255
499	380297	760594
500	381104	759926
501	381920	759275
502	382796	758742
503	383637	758141
504	384447	757475
505	385239	756774
506	386022	756055
507	386885	755491
508	387733	754899
509	388620	754380
510	389442	753734
511	390267	753093
512	391111	752488
513	391995	751960
514	392836	751347
515	393664	750708
516	394519	750121
517	395318	749426
518	396228	748940
519	397111	748402
520	397885	747658
521	398720	747027
522	399495	746284
523	400256	745515
524	401020	744752
525	401730	743888
526	402520	743172
527	403281	742404
528	404076	741698
529	404895	741035
530	405706	740356
531	406604	739837
532	407404	739136
533	408210	738448
534	409096	737903
535	409992	737374
536	410888	736844
537	411670	736108
538	412543	735536
539	413406	734944
540	414208	734244
541	415037	733590
542	415781	732785
543	416589	732095
544	417331	731287
545	418119	730561
546	418924	729863
547	419852	729379
548	420728	728802
549	421544	728122
550	422273	727291
551	423039	726523
552	423838	725813
553	424581	725006
554	425425	724373
555	426141	723520
556	426917	722769
557	427750	722115
558	428566	721433
559	429396	720772
560	430169	720016
561	431085	719498
562	431852	718730
563	432659	718030
564	433443	717291
565	434158	716439
566	434911	715648
567	435817	715109
568	436784	714667
569	437639	714042
570	438598	713586
571	439468	712984
572	440221	712191
573	440967	711387
574	441734	710615
575	442527	709887
576	443285	709103
577	443984	708225
578	444851	707613
579	445676	706934
580	446421	706129
581	447128	705265
582	447877	704465
583	448627	703668
584	449307	702762
585	450059	701970
586	450752	701085
587	451589	700424
588	452362	699663
